code,name,total_market_value,pe_ratio,pb_ratio,industry,area,main_business,listing_date,market_value_billion
333,美的集团,555291348810.77,,,,,,20130918,5552.9134881077
1,平安银行,248007634570.44,,,,,,19910403,2480.0763457044
63,中兴通讯,152594762895.3,,,,,,19971118,1525.9476289529998
338,潍柴动力,131519479856.64,,,,,,20070430,1315.1947985664
166,申万宏源,125700521691.2,,,,,,20150126,1257.005216912
425,徐工机械,96615543982.86,,,,,,19960828,966.1554398286
100,TCL科技,81689001336.45,,,,,,20040130,816.8900133645
2,万  科Ａ,77549611561.5,,,,,,19910129,775.496115615
408,藏格矿业,66106503864.5,,,,,,19960628,661.065038645
157,中联重科,62701880461.0,,,,,,20001012,627.01880461
301,东方盛虹,55203753582.9,,,,,,20000529,552.037535829
66,中国长城,45999894994.88,,,,,,19970626,459.9989499488
39,中集集团,43301938691.55,,,,,,19940408,433.01938691550004
158,常山北明,34498148839.18,,,,,,20000724,344.9814883918
423,东阿阿胶,33023131534.72,,,,,,19960729,330.2313153472
513,丽珠集团,32782681591.8,,,,,,19931028,327.82681591799997
27,深圳能源,31398773445.6,,,,,,19930903,313.987734456
426,兴业银锡,30239076635.17,,,,,,19960828,302.3907663517
429,粤高速Ａ,28393147191.08,,,,,,19980220,283.93147191080004
21,深科技,28309058846.32,,,,,,19940202,283.0905884632
62,深圳华强,27591087914.36,,,,,,19970130,275.9108791436
34,神州数码,25640947333.75,,,,,,19940509,256.4094733375
88,盐 田 港,23605654390.84,,,,,,19970728,236.0565439084
9,中国宝安,22955004288.5,,,,,,19910625,229.550042885
400,许继电气,22697734604.52,,,,,,19970418,226.9773460452
32,深桑达Ａ,22486074463.84,,,,,,19931028,224.8607446384
415,渤海租赁,20903681933.16,,,,,,19960716,209.0368193316
50,深天马Ａ,20890855118.5,,,,,,19950315,208.908551185
155,川能动力,18720146987.88,,,,,,20000926,187.2014698788
29,深深房Ａ,18715710000.0,,,,,,19930915,187.1571
69,华侨城Ａ,18245710780.31,,,,,,19970910,182.4571078031
60,中金岭南,17379848188.65,,,,,,19970123,173.7984818865
403,派林生物,17173680765.02,,,,,,19960628,171.7368076502
99,中信海直,16554934723.58,,,,,,20000731,165.5493472358
410,沈阳机床,15168181086.599998,,,,,,19960718,151.68181086599998
156,华数传媒,14767871562.74,,,,,,20000906,147.6787156274
12,南  玻Ａ,14647201350.39,,,,,,19920228,146.4720135039
89,深圳机场,14232340392.46,,,,,,19980420,142.3234039246
28,国药一致,13914126925.0,,,,,,19930809,139.14126925
422,湖北宜化,12643713436.16,,,,,,19960815,126.4371343616
16,深康佳Ａ,12569475029.76,,,,,,19920327,125.6947502976
401,冀东水泥,12041719558.14,,,,,,19960614,120.4171955814
65,北方国际,11924524777.62,,,,,,19980605,119.2452477762
31,大悦城,11701635415.47,,,,,,19931008,117.0163541547
516,国际医学,11619874148.070002,,,,,,19930809,116.19874148070002
61,农 产 品,10979357927.57,,,,,,19970110,109.7935792757
35,中国天楹,10828391178.06,,,,,,19940408,108.2839117806
58,深 赛 格,10243589591.04,,,,,,19961226,102.4358959104
503,国新健康,10087892828.96,,,,,,19921130,100.8789282896
