code,name,industry,industry_rank,current_price,target_price,fundamental_score,rating,risk_level,risk_score,investment_reason,relative_advantages,recommended_position_pct,max_position_pct,position_reason,stop_loss_price,stop_loss_percentage,stop_loss_reason,entry_period,holding_period,target_timeline,risk_warnings,failure_conditions
sh.600000,浦发银行,银行,1,10.29,9.261,58,谨慎,中等风险,40,基本面偏弱，投资需谨慎,无明显优势,1.0,1.5,基于谨慎评级和40分风险评分,9.4668,8.0,基本面较弱,暂不建议建仓,3-6个月观察期,3-6个月,经营现金流为负，关注资金链安全,股价跌破8.75元; 基本面评分连续两个季度下降超过5分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600004,白云机场,交通运输,4,9.6,10.08,63,中性,中等风险,40,基本面一般，可适度关注,PE估值(27.2)低于行业平均(27.7),2.0,3.0,基于中性评级和40分风险评分,8.448,12.0,正常风控,1个月内观察后建仓,6个月-1年短期持有,3-6个月,流动比率低于1(0.95)，关注短期偿债风险,股价跌破8.16元; 基本面评分连续两个季度下降超过5分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600006,东风股份,N/A,N/A,7.37,6.633,31,不推荐,高风险,75,基本面较差，不建议投资,N/A,0.5,0.75,基于不推荐评级和75分风险评分,6.7804,8.0,基本面较弱; 风险较高,暂不建议建仓,3-6个月观察期,3-6个月,公司亏损，关注经营改善情况; 高估值(306.5倍PE)，注意估值回归风险; 经营现金流为负，关注资金链安全,股价跌破6.26元; 基本面评分连续两个季度下降超过5分; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600007,中国国贸,其他,1,24.46,29.352,91,强烈推荐,低风险,0,基本面优秀，财务指标表现突出,基本面评分(91.0)高于行业平均(72.2); ROE(0.107)高于行业平均(0.067),8.0,10.0,基于强烈推荐评级和0分风险评分,19.568,20.0,正常风控,1-2周内分批建仓,2-3年长期持有,6-12个月,暂无特别风险警示,股价跌破20.79元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600008,首创环保,N/A,N/A,3.28,3.936,78,推荐,低风险,10,基本面良好，具有投资价值,N/A,4.0,6.0,基于推荐评级和10分风险评分,2.788,15.0,正常风控,1-2周内分批建仓,1-2年中期持有,6-12个月,暂无特别风险警示,股价跌破2.79元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600009,上海机场,交通运输,3,34.15,35.8575,67,中性,中等风险,45,基本面一般，可适度关注,无明显优势,2.0,3.0,基于中性评级和45分风险评分,30.052,12.0,正常风控,1个月内观察后建仓,6个月-1年短期持有,3-6个月,高估值(51.9倍PE)，注意估值回归风险,股价跌破29.03元; 基本面评分连续两个季度下降超过5分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600010,包钢股份,其他,5,1.86,,31,不推荐,中高风险,50,基本面较差，不建议投资,无明显优势,1.0,1.5,基于不推荐评级和50分风险评分,1.7112,8.0,基本面较弱,暂不建议建仓,3-6个月观察期,待定,公司亏损，关注经营改善情况; 流动比率低于1(0.58)，关注短期偿债风险,股价跌破1.58元; 基本面评分连续两个季度下降超过5分; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600011,华能国际,电力,4,6.77,8.123999999999999,71,推荐,中等风险,30,基本面良好，具有投资价值,无明显优势,4.0,6.0,基于推荐评级和30分风险评分,5.754499999999999,15.0,正常风控,1-2周内分批建仓,1-2年中期持有,6-12个月,流动比率低于1(0.63)，关注短期偿债风险,股价跌破5.75元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600012,皖通高速,交通运输,1,17.65,21.18,86,强烈推荐,低风险,10,基本面优秀，财务指标表现突出,基本面评分(86.0)高于行业平均(73.0); ROE(0.096)高于行业平均(0.054); PE估值(19.1)低于行业平均(27.7),8.0,10.0,基于强烈推荐评级和10分风险评分,14.12,20.0,正常风控,1-2周内分批建仓,2-3年长期持有,6-12个月,暂无特别风险警示,股价跌破15.00元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600015,华夏银行,银行,2,8.01,7.209,58,谨慎,中等风险,30,基本面偏弱，投资需谨慎,ROE(0.055)高于行业平均(0.051); PE估值(4.7)低于行业平均(5.7),1.0,1.5,基于谨慎评级和30分风险评分,7.3692,8.0,基本面较弱,暂不建议建仓,3-6个月观察期,3-6个月,经营现金流为负，关注资金链安全,股价跌破6.81元; 基本面评分连续两个季度下降超过5分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600016,民生银行,银行,3,4.13,3.717,58,谨慎,中等风险,40,基本面偏弱，投资需谨慎,PE估值(5.5)低于行业平均(5.7),1.0,1.5,基于谨慎评级和40分风险评分,3.7996,8.0,基本面较弱,暂不建议建仓,3-6个月观察期,3-6个月,经营现金流为负，关注资金链安全,股价跌破3.51元; 基本面评分连续两个季度下降超过5分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600017,日照港,其他,4,3.2,3.3600000000000003,65,中性,中等风险,40,基本面一般，可适度关注,无明显优势,2.0,3.0,基于中性评级和40分风险评分,2.8160000000000003,12.0,正常风控,1个月内观察后建仓,6个月-1年短期持有,3-6个月,流动比率低于1(0.36)，关注短期偿债风险,股价跌破2.72元; 基本面评分连续两个季度下降超过5分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600018,上港集团,其他,2,6.12,7.343999999999999,88,强烈推荐,低风险,10,基本面优秀，财务指标表现突出,基本面评分(88.0)高于行业平均(72.2); ROE(0.093)高于行业平均(0.067); PE估值(10.4)低于行业平均(16.1),8.0,10.0,基于强烈推荐评级和10分风险评分,4.896000000000001,20.0,正常风控,1-2周内分批建仓,2-3年长期持有,6-12个月,暂无特别风险警示,股价跌破5.20元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600019,宝钢股份,钢铁,1,7.0,7.35,64,中性,中等风险,30,基本面一般，可适度关注,基本面评分(64.0)高于行业平均(43.0); ROE(0.029)高于行业平均(-0.021),2.0,3.0,基于中性评级和30分风险评分,6.16,12.0,正常风控,1个月内观察后建仓,6个月-1年短期持有,3-6个月,暂无特别风险警示,股价跌破5.95元; 基本面评分连续两个季度下降超过5分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600020,中原高速,交通运输,2,4.22,5.063999999999999,76,推荐,低中风险,20,基本面良好，具有投资价值,基本面评分(76.0)高于行业平均(73.0); ROE(0.055)高于行业平均(0.054); PE估值(12.8)低于行业平均(27.7),4.0,6.0,基于推荐评级和20分风险评分,3.5869999999999997,15.0,正常风控,1-2周内分批建仓,1-2年中期持有,6-12个月,暂无特别风险警示,股价跌破3.59元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600021,上海电力,电力,3,9.17,11.004,73,推荐,中等风险,30,基本面良好，具有投资价值,PE估值(10.0)低于行业平均(14.6),4.0,6.0,基于推荐评级和30分风险评分,7.794499999999999,15.0,正常风控,1-2周内分批建仓,1-2年中期持有,6-12个月,流动比率低于1(0.84)，关注短期偿债风险,股价跌破7.79元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600022,山东钢铁,钢铁,2,1.45,,22,不推荐,中高风险,50,基本面较差，不建议投资,无明显优势,1.0,1.5,基于不推荐评级和50分风险评分,1.334,8.0,基本面较弱,暂不建议建仓,3-6个月观察期,待定,公司亏损，关注经营改善情况; 流动比率低于1(0.49)，关注短期偿债风险,股价跌破1.23元; 基本面评分连续两个季度下降超过5分; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600023,浙能电力,电力,1,5.66,6.792,79,推荐,低中风险,20,基本面良好，具有投资价值,基本面评分(79.0)高于行业平均(75.2); ROE(0.096)高于行业平均(0.090); PE估值(10.5)低于行业平均(14.6),4.0,6.0,基于推荐评级和20分风险评分,4.811,15.0,正常风控,1-2周内分批建仓,1-2年中期持有,6-12个月,暂无特别风险警示,股价跌破4.81元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600025,华能水电,电力,2,9.51,11.412,78,推荐,低中风险,20,基本面良好，具有投资价值,基本面评分(78.0)高于行业平均(75.2); ROE(0.102)高于行业平均(0.090),4.0,6.0,基于推荐评级和20分风险评分,8.083499999999999,15.0,正常风控,1-2周内分批建仓,1-2年中期持有,6-12个月,流动比率低于1(0.23)，关注短期偿债风险,股价跌破8.08元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
sh.600026,中远海能,其他,3,11.6,13.92,86,强烈推荐,低中风险,20,基本面优秀，财务指标表现突出,基本面评分(86.0)高于行业平均(72.2); ROE(0.097)高于行业平均(0.067),8.0,10.0,基于强烈推荐评级和20分风险评分,9.28,20.0,正常风控,1-2周内分批建仓,2-3年长期持有,6-12个月,暂无特别风险警示,股价跌破9.86元; 基本面评分连续两个季度下降超过10分; ROE连续两个季度为负或下降超过50%; 经营现金流连续两个季度大幅恶化; 行业内排名下降超过2位且持续两个季度; 出现重大财务造假、违法违规等负面事件
