代码,名称,交易所,板块,最新价,总市值(亿),市盈率,市净率,估值评级,目标价,预期收益率,投资周期,止损价,风险等级,竞品数量,相对优势,投资理由
601857,中国石油,上海证券交易所,上证主板,8.93,16343.77,8.73,1.07,低估,17.5,96.0%,6-12个月,7.5905,较低,5,PB估值优势,估值优势：当前PE 8.73倍，低于行业中位数34.23倍; 账面价值：当前PB 1.07倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值16344亿元，具备较强抗风险能力
601211,国泰海通,上海证券交易所,上证主板,19.45,3428.98,7.0,1.1,低估,37.08,90.6%,6-12个月,16.5325,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 7.00倍，低于行业中位数34.23倍; 账面价值：当前PB 1.10倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值3429亿元，具备较强抗风险能力; 短期表现：当日上涨0.46%，显示市场认可
600036,招商银行,上海证券交易所,上证主板,45.25,11411.98,7.65,1.11,低估,85.49,88.9%,6-12个月,38.4625,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 7.65倍，低于行业中位数34.23倍; 账面价值：当前PB 1.11倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值11412亿元，具备较强抗风险能力; 短期表现：当日上涨0.07%，显示市场认可
601318,中国平安,上海证券交易所,上证主板,57.5,10470.88,9.69,1.14,低估,105.77,83.9%,6-12个月,48.875,较低,5,需要进一步分析,估值优势：当前PE 9.69倍，低于行业中位数34.23倍; 账面价值：当前PB 1.14倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值10471亿元，具备较强抗风险能力; 短期表现：当日上涨0.70%，显示市场认可
651,格力电器,上海证券交易所,上证主板,48.09,2693.72,11.41,1.96,低估,51.45,7.0%,6-12个月,40.8765,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 11.41倍，低于行业中位数34.23倍; 账面价值：当前PB 1.96倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2694亿元，具备较强抗风险能力; 短期表现：当日上涨0.29%，显示市场认可
601319,中国人保,上海证券交易所,上证主板,8.4,3714.82,7.23,1.33,低估,13.24,57.7%,6-12个月,7.14,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 7.23倍，低于行业中位数34.23倍; 账面价值：当前PB 1.33倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值3715亿元，具备较强抗风险能力
601601,中国太保,上海证券交易所,上证主板,37.9,3646.11,9.47,1.38,低估,57.59,52.0%,6-12个月,32.214999999999996,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 9.47倍，低于行业中位数34.23倍; 账面价值：当前PB 1.38倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值3646亿元，具备较强抗风险能力
600016,民生银行,上海证券交易所,上证主板,5.33,2333.6,4.58,0.42,低估,26.61,399.3%,6-12个月,4.5305,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 4.58倍，低于行业中位数34.23倍; 账面价值：当前PB 0.42倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2334亿元，具备较强抗风险能力
601728,中国电信,上海证券交易所,上证主板,7.66,7009.45,19.77,1.54,低估,10.43,36.2%,6-12个月,6.511,较低,5,需要进一步分析,估值优势：当前PE 19.77倍，低于行业中位数34.23倍; 账面价值：当前PB 1.54倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值7009亿元，具备较强抗风险能力
600030,中信证券,上海证券交易所,上证主板,28.2,4179.39,15.96,1.56,低估,37.91,34.4%,6-12个月,23.97,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 15.96倍，低于行业中位数34.23倍; 账面价值：当前PB 1.56倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值4179亿元，具备较强抗风险能力
601816,京沪高铁,上海证券交易所,上证主板,5.57,2725.16,22.99,1.37,低估,7.46,34.0%,6-12个月,4.7345,较低,5,PB估值优势,估值优势：当前PE 22.99倍，低于行业中位数34.23倍; 账面价值：当前PB 1.37倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2725亿元，具备较强抗风险能力; 短期表现：当日上涨0.18%，显示市场认可
600938,中国海油,上海证券交易所,上证主板,25.82,12272.23,8.39,1.57,低估,34.49,33.6%,6-12个月,21.947,较低,5,PE估值优势,估值优势：当前PE 8.39倍，低于行业中位数34.23倍; 账面价值：当前PB 1.57倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值12272亿元，具备较强抗风险能力; 短期表现：当日上涨0.04%，显示市场认可
601818,光大银行,上海证券交易所,上证主板,4.36,2576.13,5.17,0.54,低估,16.93,288.3%,6-12个月,3.706,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 5.17倍，低于行业中位数34.23倍; 账面价值：当前PB 0.54倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2576亿元，具备较强抗风险能力; 短期表现：当日上涨0.23%，显示市场认可
601668,中国建筑,上海证券交易所,上证主板,6.12,2528.81,4.21,0.55,低估,23.33,281.3%,6-12个月,5.202,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 4.21倍，低于行业中位数34.23倍; 账面价值：当前PB 0.55倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2529亿元，具备较强抗风险能力
1,平安银行,其他,其他,12.74,2472.31,4.38,0.58,低估,46.85,267.8%,6-12个月,10.829,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 4.38倍，低于行业中位数35.96倍; 账面价值：当前PB 0.58倍，低于行业中位数2.37倍; 规模优势：超大盘股，总市值2472亿元，具备较强抗风险能力; 短期表现：当日上涨0.08%，显示市场认可
600000,XD浦发银,上海证券交易所,上证主板,13.64,4128.51,5.87,0.62,低估,46.13,238.2%,6-12个月,11.594,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 5.87倍，低于行业中位数34.23倍; 账面价值：当前PB 0.62倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值4129亿元，具备较强抗风险能力; 短期表现：当日上涨0.89%，显示市场认可
601328,交通银行,上海证券交易所,上证主板,8.09,7148.63,7.04,0.65,低估,26.1,222.6%,6-12个月,6.8765,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 7.04倍，低于行业中位数34.23倍; 账面价值：当前PB 0.65倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值7149亿元，具备较强抗风险能力; 短期表现：当日上涨0.12%，显示市场认可
601166,兴业银行,上海证券交易所,上证主板,24.44,5172.2,5.43,0.67,低估,76.49,213.0%,6-12个月,20.774,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 5.43倍，低于行业中位数34.23倍; 账面价值：当前PB 0.67倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值5172亿元，具备较强抗风险能力; 短期表现：当日上涨0.04%，显示市场认可
601998,中信银行,上海证券交易所,上证主板,8.57,4768.79,6.11,0.68,低估,26.43,208.4%,6-12个月,7.2845,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 6.11倍，低于行业中位数34.23倍; 账面价值：当前PB 0.68倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值4769亿元，具备较强抗风险能力
601658,邮储银行,上海证券交易所,上证主板,5.66,6797.38,6.73,0.7,低估,16.96,199.6%,6-12个月,4.811,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 6.73倍，低于行业中位数34.23倍; 账面价值：当前PB 0.70倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值6797亿元，具备较强抗风险能力
601988,中国银行,上海证券交易所,上证主板,5.71,18398.33,8.46,0.71,低估,16.86,195.4%,6-12个月,4.8534999999999995,较低,5,PB估值优势,估值优势：当前PE 8.46倍，低于行业中位数34.23倍; 账面价值：当前PB 0.71倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值18398亿元，具备较强抗风险能力; 短期表现：当日上涨0.18%，显示市场认可
601939,建设银行,上海证券交易所,上证主板,9.71,25401.4,7.62,0.76,低估,26.79,175.9%,6-12个月,8.2535,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 7.62倍，低于行业中位数34.23倍; 账面价值：当前PB 0.76倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值25401亿元，具备较强抗风险能力; 短期表现：当日上涨0.10%，显示市场认可
601398,工商银行,上海证券交易所,上证主板,7.8,27799.69,8.26,0.76,低估,21.52,175.9%,6-12个月,6.63,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 8.26倍，低于行业中位数34.23倍; 账面价值：当前PB 0.76倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值27800亿元，具备较强抗风险能力
601288,农业银行,上海证券交易所,上证主板,6.33,22153.93,7.7,0.85,低估,15.62,146.7%,6-12个月,5.3805,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 7.70倍，低于行业中位数34.23倍; 账面价值：当前PB 0.85倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值22154亿元，具备较强抗风险能力
600028,中国石化,上海证券交易所,上证主板,5.76,6983.73,13.16,0.85,低估,13.48,134.1%,6-12个月,4.896,较低,5,PB估值优势,估值优势：当前PE 13.16倍，低于行业中位数34.23倍; 账面价值：当前PB 0.85倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值6984亿元，具备较强抗风险能力
601919,中远海控,上海证券交易所,上证主板,15.35,2377.68,5.08,0.97,低估,33.18,116.2%,6-12个月,13.0475,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 5.08倍，低于行业中位数34.23倍; 账面价值：当前PB 0.97倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2378亿元，具备较强抗风险能力
600690,海尔智家,上海证券交易所,上证主板,25.82,2422.67,11.04,2.06,低估,26.28,1.8%,6-12个月,21.947,较低,5,PE估值优势; PB估值优势,估值优势：当前PE 11.04倍，低于行业中位数34.23倍; 账面价值：当前PB 2.06倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值2423亿元，具备较强抗风险能力; 短期表现：当日上涨0.08%，显示市场认可
333,美的集团,其他,其他,73.3,5623.33,11.32,2.74,低估,57.06,-22.2%,6-12个月,62.30499999999999,较低,0,暂无可比较的同类股票,估值优势：当前PE 11.32倍，低于行业中位数35.96倍; 账面价值：当前PB 2.74倍，低于行业中位数2.37倍; 规模优势：超大盘股，总市值5623亿元，具备较强抗风险能力; 短期表现：当日上涨0.12%，显示市场认可
601628,中国人寿,上海证券交易所,上证主板,39.91,11280.44,9.79,2.12,低估,39.48,-1.1%,6-12个月,33.9235,较低,5,需要进一步分析,估值优势：当前PE 9.79倍，低于行业中位数34.23倍; 账面价值：当前PB 2.12倍，低于行业中位数2.33倍; 规模优势：超大盘股，总市值11280亿元，具备较强抗风险能力
