code,name,strategy,pe,pb,total_mv,roe,profit_growth,debt_ratio,score,strategy_count
1,平安银行,graham,5.3847,0.5585,23966308.9745,,,,2.97875099,2
63,中兴通讯,value,19.5264,2.3727,16450576.4764,,,,10.949549999999999,2
338,潍柴动力,graham,11.9386,1.5767,13613878.5644,,,,9.170838124,2
425,徐工机械,graham,16.7766,1.6998,10025919.5885,,,,13.093932936,2
157,中联重科,graham,18.6218,1.1789,6555589.7089,,,,12.310928004,2
27,深圳能源,buffett,15.8726,0.9965,3182693.8538,2.7,31.1372,62.5195,12.728076506432469,2
88,盐 田 港,buffett,17.8026,1.3722,2402161.3059,1.72,18.6444,23.4862,54.69198570444766,2
65,北方国际,buffett,11.5457,1.2416,1211737.4235,1.78,-35.4615,57.2331,11.118813318638109,2
19,深粮控股,lynch,24.6231,1.6556,801012.0015,1.82,43.7221,31.9177,30.368512705914366,2
333,美的集团,value,14.4881,2.731,55833245.7176,,,,8.609549999999999,1
39,中集集团,graham,15.0581,0.9473,4475791.9196,,,,9.255067626,1
21,深科技,lynch,31.5356,2.4742,2933904.6654,1.47,31.3188,48.1607,21.898781941932295,1
60,中金岭南,graham,17.2393,1.3702,1865063.2787,,,,12.168057772000001,1
89,深圳机场,lynch,33.1889,1.3049,1470401.738,1.41,72.3674,52.8854,33.95682555697839,1
61,农 产 品,buffett,29.4184,1.8025,1130178.1112,1.17,-3.8247,60.3039,10.66542331330052,1
30,富奥股份,graham,15.3875,1.3476,1040485.5612,,,,10.841279,1
498,山东路桥,graham,4.0176,0.6296,933015.9045,,,,2.364776192,1
48,京基智农,buffett,12.1985,2.0604,870723.4545,2.54,99.5486,58.9643,12.01581292290036,1
90,天健集团,graham,11.1407,0.6155,691361.8106,,,,6.073900170000001,1
411,英特集团,graham,11.1226,1.3089,584519.6101,,,,7.884274228000001,1
507,珠海港,graham,17.7275,1.0134,517810.7459,,,,11.0893697,1
404,长虹华意,graham,11.1771,1.2556,503205.0928,,,,7.779873351999999,1
