代码,名称,最新价,市盈率,市净率,总市值,涨跌幅,格雷厄姆评分,巴菲特评分,林奇评分,综合评分,投资建议
601665,齐鲁银行,6.25,5.81,0.59,31796345781.0,1.13,70,59,59,62.3,谨慎关注
603368,柳药集团,17.98,6.44,0.96,7141096067.0,1.64,70,57,61,62.1,谨慎关注
601211,XD国泰海,20.65,7.43,1.18,364053484572.0,2.18,68,67,47,61.3,谨慎关注
601838,XD成都银,18.8,6.61,1.01,79682584693.0,1.13,68,62,49,59.9,不推荐
601333,广深铁路,3.1,11.73,0.79,21958964700.0,1.64,68,52,54,57.4,不推荐
600335,国机汽车,6.75,18.87,0.88,10096573671.0,2.43,63,47,59,55.4,不推荐
605377,华旺科技,9.33,16.09,1.35,5193733600.0,1.19,61,47,59,54.8,不推荐
600208,衢州发展,3.94,19.77,0.81,33525226752.0,1.29,63,47,57,54.8,不推荐
002258,利尔化学,12.52,16.37,1.3,10021474095.0,1.62,61,47,59,54.8,不推荐
603599,广信股份,12.12,17.13,1.15,11032464461.0,1.34,61,47,59,54.8,不推荐
002215,诺 普 信,12.1,4.85,2.96,12162814851.0,2.11,45,53,66,54.5,不推荐
601900,XD南方传,14.65,10.09,1.59,12920861877.0,1.31,56,52,56,54.4,不推荐
603639,海利尔,14.8,11.99,1.5,5030495373.0,3.35,59,47,56,53.3,不推荐
601628,中国人寿,41.99,10.3,2.23,1186834962950.0,1.18,45,62,48,52.7,不推荐
002697,红旗连锁,5.78,12.55,1.76,7860800000.0,1.4,56,47,56,52.4,不推荐
003041,真爱美家,29.48,5.11,2.83,4245120000.0,1.66,50,52,53,51.7,不推荐
603816,顾家家居,26.99,10.68,2.4,22179613298.0,2.66,45,52,52,49.9,不推荐
300596,利安隆,30.37,16.16,1.55,6973549287.0,1.06,50,42,59,49.5,不推荐
603233,大参林,17.37,10.75,2.9,19781787936.0,1.05,40,52,54,49.0,不推荐
600728,佳都科技,5.91,26.17,1.63,12603661633.0,2.6,35,52,59,49.0,不推荐
