industry,stock_count,avg_score,excellent_count,good_count
银行业,41,98.60975609756098,41,0
保险业,3,98.33333333333333,3,0
证券业,49,84.06122448979592,38,5
采掘行业,25,79.52,14,7
电力行业,29,79.03448275862068,16,9
交通运输,16,78.0,9,6
建筑建材,11,77.72727272727273,6,3
公用事业,47,77.02127659574468,25,12
汽车行业,23,76.56521739130434,12,6
纺织服装,2,75.0,0,2
商业贸易,6,75.0,2,2
机械设备,41,74.70731707317073,18,16
休闲服务,40,74.575,15,19
食品饮料,37,74.1891891891892,12,20
化工行业,47,73.91489361702128,20,15
钢铁行业,10,73.3,3,5
房地产,16,72.5,6,7
医药生物,298,71.11744966442953,106,118
其他行业,3980,69.01256281407035,1115,1507
电子信息,726,66.81404958677686,103,368
农林牧渔,12,65.0,2,5
