sector_name,total_stocks,valid_pe_count,valid_pb_count,avg_price,median_price,avg_pe,median_pe,avg_pb,median_pb,avg_turnover,median_turnover,price_range,pe_range,pb_range
汽车芯片,58,38,58,40.57362068965517,30.53,135.11052631578946,77.58000000000001,4.135689655172413,3.88,0.29603448275862065,0.09,2.74 - 160.31,13.31 - 1807.02,0.97 - 11.36
AI手机,34,24,34,33.88235294117647,30.1,143.28083333333333,69.57,4.382352941176471,3.9799999999999995,0.31794117647058817,0.09,6.46 - 81.41,16.69 - 877.51,1.84 - 10.58
AI眼镜,94,67,94,35.795425531914894,23.015,156.28626865671643,73.51,4.658191489361702,3.67,0.1914893617021277,0.1,2.01 - 288.14,12.39 - 855.91,-142.59 - 143.00
云计算,233,128,233,29.047982832618025,18.64,180.19312499999998,78.805,6.36892703862661,3.91,0.3885836909871244,0.19,2.74 - 595.80,9.84 - 3041.49,0.86 - 57.27
存储芯片,59,39,59,36.836271186440676,30.6,206.72128205128203,109.36,7.002372881355932,4.63,0.2035593220338983,0.11,4.59 - 115.60,24.96 - 1808.43,1.29 - 144.24
多模态AI,55,36,55,25.38600000000001,21.66,211.33916666666667,83.095,5.097272727272728,3.55,0.386,0.22,5.40 - 62.31,14.43 - 1624.89,0.97 - 22.00
区块链,236,141,236,18.253347457627118,12.26,213.4617730496454,74.92,5.594618644067797,3.365,0.3819491525423729,0.19,1.55 - 273.69,3.41 - 1664.00,-38.36 - 143.00
物联网,372,242,372,24.348602150537634,16.2,285.71933884297516,65.805,4.537930107526882,3.315,0.3552150537634409,0.15,1.40 - 161.73,6.36 - 31098.29,-142.59 - 96.83
人工智能,630,386,630,26.130191387559808,18.68,290.7661917098446,73.44,5.149015873015873,3.58,0.3555079365079365,0.15,1.49 - 593.50,6.24 - 31060.36,-1.70 - 96.93
时空大数据,26,12,26,17.6672,14.73,320.9875,101.545,3.89,2.87,0.2330769230769231,0.14,4.56 - 52.57,7.30 - 1808.43,1.52 - 11.95
智谱AI,35,22,35,26.59371428571428,20.52,447.4331818181818,110.38499999999999,5.552,3.97,0.498,0.29,5.82 - 150.25,8.76 - 4707.10,1.07 - 20.66
AI语料,28,19,28,21.866785714285708,16.35,653.6415789473684,185.19,5.835357142857142,3.675,0.5128571428571428,0.235,3.76 - 116.10,26.73 - 4711.56,1.21 - 36.06
AI智能体,83,54,83,21.71204819277109,17.56,739.5144444444443,84.535,4.810120481927711,3.68,0.4961445783132531,0.21,3.33 - 69.18,17.81 - 31098.29,0.96 - 24.13
F5G概念,23,20,23,34.36695652173913,16.42,1682.2894999999996,79.975,5.031739130434783,4.15,0.24043478260869566,0.15,5.67 - 184.67,4.49 - 31136.21,0.98 - 19.46
